"","gene1","gene2"
"987","CDHR2","MAST2"
"1024","GORASP2","TSC22D4"
"1025","KIAA0408","Cep72"
"1027","TRAF2","CDCA3"
"1028","FCHSD2","CCDC158"
"1033","BNIP3L","DOK5"
"1034","CCDC85B","FAM27E3"
"1036","KRT81","KXD1"
"1037","ACTB","CFL1"
"1038","CCDC85B","ZNF250"
"1039","LMO2","MAPRE2"
"1041","TRIM29","EFCAB4B"
"1042","CLUAP1","CINP"
"1043","DVL3","CCNK"
"1044","MAGEH1","MOAP1"
"1046","QPRT","KRTAP4-12"
"1049","TRAF2","FAM120B"
"1050","PHLDA1","KRTAP4-12"
"1051","KLHDC5","USHBP1"
"1052","TRAF2","ZBTB25"
"1054","TRIP10","WBP11"
"1059","POM121","COL4A3BP"
"1060","PLSCR1","CPSF6"
"1063","DAZAP2","DCUN1D1"
"1064","TRIM23","RIBC2"
"1065","CALCOCO2","FBF1"
"1069","CEBPG","MLLT6"
"1070","HGS","EXOC7"
"1071","ZNF446","ZSCAN16"
"1072","CCDC85B","KIAA1267"
"1073","KXD1","MAP1LC3B"
"1075","ATF4","GPS2"
"1077","TRAF2","FBXO28"
"1078","MYL6","NUDT21"
"1079","RIBC2","GTPBP3"
"1081","PRKCI","PARD6A"
"1083","RBPMS","STRBP"
"1085","YWHAG","KIAA0408"
"1086","RBPMS","DTX2"
"1087","TRIP13","GPRIN2"
"1088","DTNB","C1orf182"
"1090","RBPMS","TOLLIP"
"1092","OTX1","KRTAP4-12"
"1093","FXR2","RTN3"
"1094","PCBD1","NUDT18"
"1095","TLK1","TLK1"
"1097","GYG1","GYS1"
"1101","MVK","MVK"
"1102","HMG20A","TESC"
"1103","EXOC7","ZC3H14"
"1108","AP1M1","TIFA"
"1111","CLDN7","RHOXF2"
"1112","BAD","SFN"
"1113","CALCOCO2","FAM164C"
"1118","CALCOCO2","C1orf65"
"1119","RIBC2","USHBP1"
"1120","PLSCR1","RASD1"
"1122","KRT15","SMARCD1"
"1125","DVL2","PCBD1"
"1126","CCDC85B","ZNF821"
"1130","BIRC2","MAGEA11"
"1131","CCNK","TSC22D4"
"1134","KRT6B","KRT15"
"1135","CPSF6","GIN1"
"1140","VSNL1","DTX2"
"1143","NOL3","NOL3"
"1145","TRIM23","TRIM23"
"1147","PCBD1","PCBD1"
"1149","ZMYND19","PPP1R37"
"1151","NUP62","NUP54"
"1153","PHC2","FHL3"
"1154","MLX","GABARAPL2"
"1155","PRC1","USHBP1"
"1157","NME1","WDYHV1"
"1159","PIAS2","NAV2"
"1160","C19orf57","C19orf25"
"1161","KLHL12","KLHL12"
"1162","2-Sep","DAZAP2"
"1163","KIAA0408","SORBS3"
"1164","APPL1","APPL2"
"1165","CCNK","CCDC85B"
"1166","DVL2","USP5"
"1167","CRY1","PLSCR1"
"1168","HOXB6","SAT1"
"1170","RBM11","RHOXF2"
"1171","FOXS1","RBPMS"
"1172","THAP7","C1orf190"
"1175","NFIC","LLPH"
"1176","ZNF250","DPPA2"
"1177","CCNH","SSSCA1"
"1178","KRT15","PCM1"
"1180","MAPK1IP1L","MAPK1IP1L"
"1181","ASUN","ZNF655"
"1182","STX8","VTI1B"
"1184","FXR2","KCTD4"
"1185","HK2","UBQLN1"
"1186","ACTB","CFL2"
"1187","DAZAP2","DAZAP2"
"1188","CCDC85B","ZNF337"
"1190","PLSCR1","PGLS"
"1191","THAP1","RALYL"
"1192","FXR2","RBPMS"
"1193","PLSCR1","DTX2"
"1194","TOP3B","CHIC2"
"1196","MAGEA11","MXD3"
"1197","UBE2I","MAPK1IP1L"
"1198","PLOD3","CCDC85B"
"1200","TRIM37","FAM124B"
"1201","PSME2","PSME2"
"1202","DAZAP2","C1orf94"
"1203","PIN1","TRAF2"
"1204","CCDC85B","ALS2CR11"
"1205","FAM127B","UBQLN1"
"1207","CYTH3","CNKSR1"
"1208","ZNF165","TCEB3B"
"1211","RASSF8","FRMD6"
"1213","FHIT","FHIT"
"1214","CCNK","NECAB2"
"1215","LDOC1","FAM193B"
"1216","DVL2","POLI"
"1218","DAZAP2","FAM46C"
"1220","KAT7","Cep70"
"1221","BSCL2","TMEM19"
"1222","TRIM37","MAGEB18"
"1224","EPS8","PLDN"
"1225","TTC35","COX4NB"
"1226","AP1M1","FXR2"
"1228","BSCL2","C5orf62"
"1230","NFYB","DRAP1"
"1231","HOXA1","PLSCR1"
"1232","PLDN","SKA1"
