"","gene1","gene2"
"37391","MAFG","MAFG"
"37392","MSH6","MSH2"
"37393","MSH3","MSH2"
"37394","MSH2","MSH3"
"37395","MSH2","MSH6"
"37398","RPL23A","KPNB2"
"37403","SCN4A","SLC9A3R1"
"37404","NMT1","CABP2"
"37405","NMT1","CABP1"
"37406","CABP1","Camk2g"
"37407","CABP2","Camk2g"
"37408","CABP5","Camk2g"
"37409","CABP1","GRK5"
"37412","ARHGAP1","RHOA"
"37415","CNTNAP1","RHOA"
"37418","BCR","RHOA"
"37429","DLG1","KCNA3"
"37430","ZAP70","CD5"
"37431","MITF","LEF1"
"37432","MITF","LEF1"
"37433","LEF1","SMAD2"
"37434","LEF1","SMAD3"
"37435","LEF1","SMAD4"
"37436","LEF1","SMAD3"
"37437","SMAD2","LEF1"
"37439","PIAS4","LEF1"
"37440","PIAS4","LEF1"
"37441","TRAIP","TRAF1"
"37442","TRAIP","TRAF2"
"37443","TNFRSF1B","TRAIP"
"37444","TNFRSF8","TRAIP"
"37447","MRE11A","RAD50"
"37450","XRCC5","PRKDC"
"37452","PCNA","XRCC5"
"37456","KCNE1","KCNH2"
"37463","LRP2","LPA"
"37464","FABP9","LIPE"
"37465","LIPE","FABP9"
"37466","LIPE","FABP9"
"37471","GHR","JAK2"
"37472","BCL2","BAK1"
"37475","RAF1","LTK"
"37477","LTK","PIK3R1"
"37478","LTK","CBL"
"37479","PIK3R1","LTK"
"37480","PTPN1","STAT5A"
"37481","PTPN1","STAT5B"
"37482","PTPN1","NTRK1"
"37484","PTPN1","NTRK3"
"37485","PTPN1","LTK"
"37489","VAV1","LCP2"
"37490","PPFIA1","PPFIA1"
"37491","PPFIA1","PPFIA2"
"37492","PPFIA1","PPFIBP1"
"37493","PPFIBP1","PPFIBP1"
"37494","PPFIBP1","PPFIA1"
"37495","PPFIBP1","PPFIA2"
"37496","PPFIA2","PPFIBP1"
"37497","PPFIA2","PPFIA1"
"37498","PPFIA2","PPFIA2"
"37499","PTPRF","PPFIA1"
"37500","PTPRF","PPFIA3"
"37501","PTPRF","PPFIA2"
"37502","PTPRG","PPFIA1"
"37503","PTPRG","PPFIA2"
"37504","PTPRG","PPFIA3"
"37505","PTPRS","PPFIA1"
"37506","PTPRS","PPFIA2"
"37507","PTPRS","PPFIA3"
"37508","PTPRF","PPFIA1"
"37509","PTPRF","PPFIA2"
"37510","IL6ST","PTPN6"
"37511","LIFR","PTPN6"
"37512","LYL1","NFKB1"
"37513","LYL1","NFKBIA"
"37514","LYL1","NFKB1"
"37515","TAL1","LMO2"
"37516","TAL1","LMO2"
"37517","LMO2","TAL1"
"37518","TAL1","LMO1"
"37519","TAL2","LMO1"
"37520","LYL1","LMO1"
"37521","TAL2","LMO2"
"37522","LYL1","LMO2"
"37524","PMAIP1","BCL2"
"37525","SMN1","BCL2"
"37526","BCL2","SMN1"
"37528","TP53","TP53BP2"
"37529","TP53BP2","TP53"
"37530","TP53BP2","TP53"
"37531","TP53BP2","BCL2"
"37532","BCL2","BNIP2"
"37533","BCL2","BNIP3"
"37534","BCL2","BNIP2"
"37539","BCL2","BCL2L11"
"37541","BCL2L11","BCL2L2"
"37542","BCL2","BCL2L11"
"37549","BCL2","BNIP3L"
"37551","BCL2","BNIP3"
"37553","BNIP3","BNIP3"
"37554","FES","BCR"
"37555","FES","BCR"
"37556","BCR","GRB2"
"37557","SOS1","BCR"
"37558","GRB2","BCR"
"37559","PTPN6","STAT5B"
"37560","JAK2","STAT3"
"37561","BCR","IL3"
"37564","RUNX1","JUN"
"37565","RUNX1","FOS"
"37570","THBS1","MMP2"
"37572","MMP2","THBS1"
"37574","MMP9","THBS1"
"37576","MMP2","TIMP2"
"37577","MMP2","TIMP4"
"37578","MSH2","MSH2"
"37579","MSH2","MSH3"
"37580","MSH2","MSH6"
"37588","BLM","MLH1"
"37589","MLH1","BLM"
"37590","BLM","MLH1"
"37591","MLH1","MBD4"
"37592","MLH1","MBD4"
"37593","MLH1","PMS2"
"37594","MAZ","DCC"
"37595","DCC","MAZ"
"37596","MAZ","DCC"
"37597","DCC","SIAH1"
"37598","DCC","APPL1"
"37599","APPL1","DCC"
"37600","KNG1","CD93"
"37603","PAK1","PAK1"
"37604","PAK1","PAK1"
"37605","PAK1","PAK1"
"37606","PAK1","PAK1"
"37611","SLC9A3R1","SLC4A8"
"37614","C6","C5"
"37615","CD46","MSN"
"37617","CD46","DLG4"
"37618","CD46","YES1"
"37619","ITGAM","IRAK1"
"37620","ITGAM","ICAM1"
"37627","GJA1","CAV1"
"37628","GJA1","CAV1"
"37629","CAV1","GJA1"
"37630","GJB2","CAV1"
"37631","GJB1","CAV1"
"37641","RANGAP1","RANGAP1"
"37643","PABPN1","TNPO1"
"37649","SLBP","ZNF473"
"37650","LSM10","ZNF473"
"37651","MYCBP","AKAP1"
"37652","MYCBP","AKAP1"
"37653","AKAP1","MYCBP"
"37654","RGS6","GNB5"
"37658","RUNX1","ETS1"
"37659","RUNX1","ELF2"
"37660","RUNX1","EFNA2"
"37668","HRAS","LGALS1"
"37669","HRAS","LGALS1"
"37671","LGALS1","SPN"
"37672","LGALS1","CD7"
"37673","LGALS1","CD4"
"37674","LGALS3BP","LGALS1"
"37675","LGALS3BP","LGALS3"
"37676","LTBP1","TGFB1"
"37677","LTBP1","TGFB1"
"37678","LMNB1","PRKCA"
"37679","TMPO","LMNB1"
"37680","TMPO","LMNB2"
"37681","TMPO","LMNB1"
"37684","TMPO","LMNB1"
"37691","CHUK","IKBKG"
"37692","CHUK","IKBKB"
"37693","IKBKB","IKBKG"
"37694","MAP3K1","IKBKB"
"37697","UBE2N","CHUK"
"37701","IL1B","UBE2N"
"37703","TRAF6","UBE2N"
"37709","TRAF2","UBE2N"
"37713","GPR37","HSPA8"
"37714","GPR37","DNAJB1"
"37716","TRAF6","UBE2N"
"37718","TRAF2","UBE2N"
"37729","TNC","ITGA9"
"37730","TNC","ITGA9"
"37736","TAB2","TRAF6"
"37737","TAB2","TRAF2"
"37738","TRAF6","TAB2"
"37748","Nrp1","SEMA3F"
"37754","TIMELESS","Per2"
"37755","Clock","TIMELESS"
"37756","IRAK1","TRAF6"
"37757","TAB2","TRAF6"
"37760","TAB2","TAB2"
"37761","IRAK1","IRAK1"
"37762","TAB2","TRAF6"
"37768","CHUK","MAP3K14"
"37774","NFKBIA","CHUK"
"37775","MAP3K14","CHUK"
"37777","SNAP23","STX6"
"37778","SNAP23","STX6"
"37785","TIRAP","MYD88"
"37786","MAP3K14","TRAF6"
"37787","TIRAP","TIRAP"
"37788","TIRAP","MYD88"
"37789","MYD88","TIRAP"
"37790","MYD88","MYD88"
"37791","MYD88","TIRAP"
"37792","MYD88","IRAK1"
"37793","IRAK1","MYD88"
"37794","TIRAP","IRAK2"
"37795","TIRAP","TRAF6"
"37797","MYD88","IRAK2"
"37798","MYD88","TRAF6"
"37800","TIRAP","IRAK2"
"37801","IRAK2","TIRAP"
"37802","TLR4","MYD88"
"37803","TLR4","TIRAP"
"37804","IL1RAP","TIRAP"
"37805","IL1RAP","MYD88"
"37806","TIRAP","TLR4"
"37812","FN1","PLAT"
"37813","LAMA1","PLAT"
"37817","KRT8","PRKCE"
"37819","MAPK1","KRT8"
"37824","KRT17","KRT72"
"37825","KRT17","KRT8"
"37828","TROAP","TROAP"
"37832","TROAP","KRT8"
"37833","PNN","KRT19"
"37834","PNN","KRT8"
"37837","PNN","KRT19"
"37838","PNN","KRT8"
"37840","MX2","MX2"
"37841","IL5","IL5RA"
"37842","IL5","IL5"
"37843","IL5","IL5"
"37844","IL5","IL5"
"37845","ITGAL","ICAM1"
"37846","ICAM1","ITGAL"
"37847","ICAM1","ITGB2"
"37848","MAP2K5","MAPK7"
"37849","MAP2K5","MAPK7"
"37850","MAP2K5","MAP2K5"
"37851","MAPK7","MAPK7"
"37852","TFG","TFG"
"37859","CTBP1","RBBP8"
"37860","CTBP1","RBBP8"
"37861","RBBP8","CTBP1"
"37862","RBBP8","CTBP1"
"37863","CTBP1","RBBP8"
"37864","NPAS2","ARNTL"
"37865","ARNTL","NPAS2"
"37866","ARNTL","EPAS1"
"37867","ARNTL","HIF1A"
"37868","ARNTL","CLOCK"
"37869","ARNTL","NPAS2"
"37870","ARNTL","EPAS1"
"37871","ARNTL","HIF1A"
"37878","LIMS1","NCK2"
"37879","NCOA1","PPARGC1A"
"37880","NCOA1","PPARGC1A"
"37881","NCK2","LIMS1"
"37882","LIMS1","NCK2"
"37883","PPARGC1A","NCOA1"
"37884","PPARGC1A","CREBBP"
"37885","PPARGC1A","NCOA1"
"37886","PPARGC1A","CREBBP"
"37887","CREBBP","PPARGC1A"
"37888","CREBBP","PPARGC1A"
"37889","PPARGC1A","PPARG"
"37890","NCK2","EGFR"
"37891","NCK2","Pdgfrb"
"37892","NCK2","IRS1"
"37896","BAI1","MAGI1"
"37897","BAI1","MAGI1"
"37900","ACTL6B","CTBP1"
"37901","CTBP1","ACTL6B"
"37902","ACTL6B","CTBP1"
"37905","IKBKB","IKBKB"
"37914","CRYAB","PSMA3"
"37915","CRYAB","PSMA3"
"37916","CRYAB","PSMA3"
"37917","GABPA","ATF1"
"37920","CREBBP","CREB1"
"37921","KCNIP3","CREB1"
"37927","NCOA1","DDX5"
"37929","NCOA2","DDX5"
"37935","ESR2","DDX5"
"37965","DDX5","NCOA2"
"37966","DDX5","NCOA1"
"37976","ATF2","JUN"
"37977","ATF2","FOS"
"37979","ATF4","JUN"
"37983","MYOD1","CDK4"
"37984","MYOD1","CDK4"
"37985","MYOD1","CDK4"
"37990","CDK4","CDKN1B"
"37991","CDK4","CCND1"
"37992","CDK4","CCND1"
"37993","CDK4","CDKN2A"
"37994","CDC37","CDK4"
"37995","CDC37","CDK7"
"37996","CDC37","CDK6"
"37997","CDK4","CDC37"
"37998","BIRC5","CDK4"
"37999","STX1A","CDK5"
"38000","CDK5","CDK5R1"
"38001","CDK5","CDK5R1"
"38010","CDC25C","CCNB1"
"38011","CDC25C","CDK1"
"38012","CDC20","CCNA1"
"38013","CDC20","CCNA1"
"38014","NUP62","NUTF2"
"38015","NUTF2","NUTF2"
"38016","YAP1","Wbp1"
"38018","Wbp1","YAP1"
"38019","Arl3","PDE6D"
"38020","ATXN7","PSMC1"
"38021","PSMC1","ATXN7"
"38022","ATXN7","PSMC1"
"38023","ATXN7","PSMD2"
"38024","ATXN7","PSMD7"
"38025","ATXN7","PSMC5"
"38026","ATXN7","PSMC2"
"38027","ATXN7","PSMC6"
"38029","PPP2R5D","PPP2CA"
"38030","PPP2R5D","PPP2R1B"
"38031","PPP2R5C","PPP2CA"
"38032","PPP2R5C","PPP2R1B"
"38033","PPP2R5A","PPP2CA"
"38034","PPP2R5A","PPP2R1B"
"38035","PPP2R5B","PPP2CA"
"38036","PPP2R5B","PPP2R1B"
"38037","PPP2R5E","PPP2CA"
"38038","PPP2R5E","PPP2R1B"
"38040","CDK2","CCNE1"
"38041","PPP2R5E","PPP2CA"
"38042","PPP2R5E","PPP2R1B"
"38043","SHANK1","LPHN2"
"38045","PPP2R5B","PPP2CA"
"38046","PPP2R5B","PPP2R1B"
"38047","PPP2R5A","PPP2CA"
"38048","PPP2R5A","PPP2R1B"
"38049","PPP2R5C","PPP2CA"
"38050","PPP2R5C","PPP2R1B"
"38051","PPP2R5D","PPP2CA"
"38052","PPP2R5D","PPP2R1B"
"38053","SHANK1","Lphn1"
"38064","Polr2a","PPIG"
"38065","PPIG","Polr2a"
"38066","VDR","VDR"
"38067","VDR","RXRA"
"38068","VDR","SNW1"
"38069","VDR","Ncoa2"
"38070","RXRA","Ncoa2"
"38071","RXRA","SNW1"
"38072","SNW1","VDR"
"38073","RXRA","NCOA2"
"38074","VDR","NCOA2"
"38075","Ncoa2","VDR"
"38076","Ncoa2","NCOA2"
"38077","SNW1","NCOA2"
"38078","SNW1","NCOA1"
"38079","Ncoa2","SNW1"
"38080","SNW1","NCOA1"
"38081","FHL2","ZBTB16"
"38082","ZBTB16","FHL2"
"38083","FHL2","ZBTB16"
"38084","ID1","MYOD1"
"38085","ZBTB16","FHL2"
"38086","ZBTB16","FHL2"
"38087","ZBTB16","FHL3"
"38088","NCOR2","PGR"
"38089","NCOR2","PGR"
"38090","PGR","NCOR2"
"38092","Ncoa2","PGR"
"38093","CSH2","POLR2A"
"38094","CSH2","POLR2A"
"38095","Dlgap1","SHANK2"
"38098","ZAP70","TYROBP"
"38099","Kcna4","DLG4"
"38100","Shank1","DLG4"
"38101","Dlgap1","DLG4"
"38102","CDK2","SKP2"
"38103","CDK2","CDKN1A"
"38107","GADD45B","CDK1"
"38108","GADD45B","CCNB1"
"38111","CDK1","CCNF"
"38112","CDK1","CCNB1"
"38113","CCNB1","CCNF"
"38114","CDK4","PCNA"
"38115","CCND1","PCNA"
"38116","CDK1","MAP4"
"38117","CCT2","CCNE1"
"38118","SMARCA4","PCNA"
"38119","SMARCA4","RFC1"
"38120","SMARCA4","RPA1"
"38121","SMARCA4","CREBBP"
"38122","CREBBP","BRCA1"
"38125","IRAK2","IL1R1"
"38126","TRAF6","IRAK1"
"38127","TRAF6","IRAK2"
"38128","IL1R1","MYD88"
"38129","IRAK2","MYD88"
"38130","TEC","JAK2"
"38131","JAK2","SOCS1"
"38132","SOCS3","JAK2"
"38133","SOCS3","PTK2B"
"38134","JAK2","SOCS3"
"38135","JAK2","SOCS1"
"38136","SH2B1","JAK2"
"38137","INSR","JAK2"
"38138","JAK2","PTPN11"
"38139","JAK2","STAM"
"38140","STAM","JAK2"
"38141","STAM","JAK3"
"38146","PTPN1","TYK2"
"38147","PTPN1","JAK2"
"38148","IL6ST","JAK1"
"38149","STAM2","JAK2"
"38150","STAM2","JAK3"
"38151","STAM2","TYK2"
"38152","STAM2","JAK1"
"38153","GHR","JAK1"
"38154","GHR","JAK2"
"38155","GHR","TYK2"
"38156","JAK1","RAF1"
"38157","TNFRSF1A","JAK1"
"38159","IL1B","IL1R1"
"38161","SRSF9","Safb"
"38162","Safb","SRSF9"
"38163","Safb","TRA2B"
"38165","Safb","U2AF1"
"38166","Safb","SRSF6"
"38168","TRA2B","Safb"
"38169","SRSF9","Safb"
"38170","XRCC3","RAD51C"
"38171","XRCC3","RAD51C"
"38172","XRCC3","RAD51C"
"38173","CDK7","CCNH"
"38174","CDK7","GTF2H1"
"38175","CDK7","ERCC3"
"38176","CDK7","MNAT1"
"38177","IL1R1","IL1RN"
"38178","LNPEP","TNKS"
"38179","LNPEP","TNKS2"
"38180","TERF1","TNKS"
"38181","TERF1","TNKS2"
"38182","LNPEP","TNKS2"
"38183","CASP14","CASP1"
"38184","CASP14","CASP2"
"38185","CASP14","CASP4"
"38186","CASP14","CASP8"
"38187","CASP14","CASP10"
"38188","VAV1","INSR"
"38189","INSR","PTPN11"
"38190","PTPN11","INSR"
"38191","INSR","GRB7"
"38193","GRB7","INSR"
"38204","HIST4H4","ANP32A"
"38207","HIST3H3","ANP32A"
"38208","KAT2B","HIST3H3"
"38209","KAT2B","HIST4H4"
"38212","CREBBP","HIST3H3"
"38213","CREBBP","HIST4H4"
"38216","Nphs2","NPHS1"
"38217","Nphs2","NPHS1"
"38218","NPHS1","Nphs2"
"38220","NPHS1","Rac1"
"38221","NPHS1","Rhoa"
"38222","NPHS1","MAP2K4"
"38223","NPHS1","MAP2K3"
"38224","NPHS1","MAP2K6"
"38225","MAP2K3","MAP2K6"
"38227","INSR","GRB14"
"38228","PTPN1","INSR"
"38229","SOCS3","IGF1R"
"38230","IGF1R","SOCS3"
"38231","SOCS3","IGF1R"
"38234","INSR","SH2B1"
"38235","SH2B1","INSR"
"38236","NFKB1","IRF8"
"38237","NFKB1","IRF2"
"38238","NFKB1","IRF9"
"38239","RELA","IRF8"
"38240","RELA","IRF2"
"38241","RELA","IRF9"
"38242","IRF8","IRF1"
"38243","IRF8","IRF2"
"38244","IRF9","STAT2"
"38245","IRF9","STAT2"
"38246","S100A12","S100A12"
"38247","IL17A","IL17A"
"38250","CUL1","SKP2"
"38251","CUL1","SKP1"
"38253","PLOD2","PLOD2"
"38254","PLOD3","PLOD3"
"38257","PTPN21","KIF1C"
"38258","PTPN21","KIF1C"
"38259","UBA3","NEDD8"
"38260","NEDD8","UBA3"
"38261","NEDD8","UBE2M"
"38262","UBE2M","NEDD8"
"38263","ITGB5","PAK4"
"38264","ITGB5","PIAS2"
"38265","PAK4","ITGB5"
"38266","PAK4","ITGB5"
"38267","ITGB3BP","ITGB5"
"38268","IRS2","TYK2"
"38272","SNAPC4","SNAPC5"
"38273","SNAPC4","SNAPC1"
"38274","SNAPC4","SNAPC2"
"38275","SNAPC1","SNAPC4"
"38276","SNAPC1","SNAPC5"
"38279","CDC6","ORC2"
"38281","UBB","CDC6"
"38282","UBB","MYC"
"38283","TNPO2","NXF1"
"38284","TNPO2","NXF1"
"38285","TNPO2","NXF1"
"38290","MAD2L1","CDC20"
"38291","BUB1B","CDC20"
"38292","KLRC1","KLRD1"
"38293","KLRC2","KLRD1"
"38359","IRS1","AKT1"
"38360","IRS1","IRS2"
"38361","IRS1","UBTF"
"38362","IRS2","UBTF"
"38363","CCS","CCS"
"38364","IGF1R","PTPN1"
"38366","IGF1R","GRB10"
"38367","IGF1R","GRB10"
"38368","ITPR1","CABP1"
"38369","CABP1","ITPR1"
"38370","ITPR1","Homer1"
"38371","ITPR1","Homer2"
"38372","ITPR1","ITPR3"
"38373","RBPJ","NOTCH1"
"38374","NOTCH1","RBPJ"
"38375","RBPJ","SNW1"
"38376","SNW1","NCOR2"
"38377","SNW1","RBPJ"
"38378","SNW1","NOTCH1"
"38382","MX1","PIAS1"
"38383","MX1","SP100"
"38384","MX1","BLM"
"38385","LYL1","TCF3"
"38386","LYL1","TCF3"
"38387","LYL1","TCF3"
"38388","MYOG","TCF3"
"38389","TAL1","TCF3"
"38390","TAL1","TCF3"
"38391","MAPKAPK3","TCF3"
"38392","MAPKAPK3","TCF3"
"38393","MAPKAPK3","TCF3"
"38396","NCOA1","THRB"
"38397","THRB","NCOA1"
"38398","NCOA1","THRB"
"38399","RXRA","THRB"
"38400","RXRA","NCOA1"
"38401","Esrrg","PPARGC1B"
"38402","Esrrg","PPARGC1A"
"38403","Esrrg","PPARGC1B"
"38404","Esrrg","PPARGC1A"
"38405","PPARGC1A","Esrrg"
"38406","PPARGC1B","Esrrg"
"38407","SMAD7","YAP1"
"38408","Smad7","YAP1"
"38409","YAP1","SMAD7"
"38410","YAP1","SMAD7"
"38411","YAP1","SMAD6"
"38416","GLI1","Sin3a"
"38417","GLI1","Sufu"
"38420","GLI1","Sufu"
"38424","Shh","GLI1"
"38425","Shh","GLI3"
"38428","GLI3","Sufu"
"38429","GLI3","Sin3a"
"38439","SERPINE1","IGFBP5"
"38440","IGFBP5","VTN"
"38441","IGFBP4","IGF1"
"38447","IGFALS","IGFBP5"
"38449","IGF1","IGFBP5"
"38458","ICAM2","MSN"
"38460","SPN","MSN"
"38461","YWHAQ","CBL"
"38462","CBL","YWHAQ"
"38463","YWHAQ","RAF1"
"38464","YWHAZ","NFATC4"
"38465","YWHAZ","RAF1"
"38467","UCP2","YWHAZ"
"38468","UCP2","YWHAQ"
"38470","UCP3","YWHAZ"
"38471","UCP3","YWHAQ"
"38472","YWHAQ","UCP3"
"38473","HTT","UBE2K"
"38474","UBE2K","HTT"
"38475","HAP1","HTT"
"38476","HTT","CTBP1"
"38478","CD53","PRKCA"
"38480","CD81","PTGFRN"
"38482","MAF","HOXD12"
"38483","HOXD12","MAFB"
"38484","HOXD12","MAFK"
"38486","HOXD12","MAFG"
"38488","PBX1","MEIS1"
"38489","NFKBIA","HOXB7"
"38490","HOXA9","SMAD4"
"38494","HPCA","NAIP"
"38495","FANCA","FANCG"
"38499","PDPK1","MAPK8"
"38500","PDPK1","PRKCZ"
"38501","MLX","MLXIPL"
"38502","MLX","MLX"
"38503","MLXIPL","MLX"
"38504","MNT","MLX"
"38505","MXD1","MLX"
"38506","MLX","MLXIPL"
"38507","MLX","MLXIPL"
"38562","DDB1","KAT2A"
"38564","DDB1","KAT2A"
"38566","DDB1","DDB2"
"38567","MNT","MLX"
"38568","MLX","MLX"
"38569","MAX","MYC"
"38570","MAX","MXD3"
"38571","MLX","MXD1"
"38572","MNT","Sin3a"
"38573","MNT","MNT"
"38574","MLX","MLX"
"38575","MNT","MLX"
"38576","MLX","MNT"
"38577","MLX","MLX"
"38578","MLX","MNT"
"38579","SMAD6","SMAD7"
"38580","SMAD7","SMAD6"
"38581","SMAD7","SMAD6"
"38582","SMAD1","SMAD6"
"38583","SMAD2","SMAD6"
"38584","SMAD4","SMAD6"
"38585","AMFR","Ube2g2"
"38586","Ube2g2","AMFR"
"38587","AMFR","Ube2g2"
"38588","AMFR","Ube2g2"
"38589","UBE2D2","AMFR"
"38590","Ube2g2","AMFR"
"38599","SNUPN","XPO1"
"38600","SNUPN","KPNB1"
"38601","PRPF8","EFTUD2"
"38602","PRPF8","SNRNP40"
"38603","SNRNP40","EFTUD2"
"38604","SNRNP40","PRPF8"
"38605","PRPF8","EFTUD2"
"38611","CDK7","SUPT5H"
"38615","SUPT5H","CCNT1"
"38620","SUPT5H","CDK7"
"38621","SUPT5H","CCNH"
"38622","CCNH","CDK7"
"38623","CCNH","CDK7"
"38624","TP53","MDM2"
"38625","MAP3K14","Pebp1"
"38626","MAP3K14","Pebp1"
"38627","IKBKB","Pebp1"
"38628","CHUK","Pebp1"
"38629","CHUK","CHUK"
"38630","IKBKB","CHUK"
"38631","IKBKB","IKBKB"
"38632","Pebp1","IKBKB"
"38633","Pebp1","CHUK"
"38639","BARD1","BRCA1"
"38641","BARD1","AURKB"
"38642","BARD1","TACC1"
"38643","BRCA1","BARD1"
"38644","TACC1","BARD1"
"38646","AURKB","BARD1"
"38648","UBXN6","VCP"
"38649","UBXN6","VCP"
"38650","UBXN6","VCP"
"38651","FKBP3","MDM2"
"38652","MDM2","FKBP3"
"38653","TP53","MDM2"
"38654","TP53","FKBP3"
"38655","MDM2","MDM2"
"38657","NR1H3","BARD1"
"38659","SCAMP3","WWP2"
"38660","SCAMP3","YAP1"
"38662","SCAMP3","TSG101"
"38663","HGS","SCAMP3"
"38664","NEDD4L","NEDD4L"
"38665","CDC14A","BRAP"
"38666","CDC14A","BRAP"
"38667","BRAP","CDC14A"
"38668","TRAF2","CHUK"
"38669","TRAF2","IKBKB"
"38670","IKBKB","TRAF2"
"38671","TRAF2","TAB2"
"38682","ITCH","RIPK1"
"38684","USP7","CLSPN"
"38685","USP7","CLSPN"
"38686","UBE2D2","CDKN1B"
"38687","UBE2B","CDKN1B"
"38688","CDC34","CDKN1B"
"38689","PIN1","SMAD2"
"38690","PIN1","SMAD3"
"38691","PIN1","SMAD3"
"38692","SMAD2","PIN1"
"38693","SMAD3","PIN1"
"38694","SMURF2","SMAD2"
"38695","SMURF2","SMAD3"
"38702","PDLIM1","PDLIM1"
"38709","BARD1","BRCA1"
"38710","BRCA1","BARD1"
"38711","CXCR4","ITCH"
"38712","CXCR4","ITCH"
"38713","CXCR4","ITCH"
"38714","ITCH","CXCR4"
"38716","TRAF6","TAB2"
"38718","CXCR4","USP14"
"38719","CXCR4","USP14"
"38720","AMFR","CYP3A4"
"38725","MDM2","RYBP"
"38726","RYBP","MDM2"
"38727","RYBP","MDM2"
"38728","MDM2","RYBP"
"38729","MDM2","TP53"
"38730","RYBP","TP53"
"38731","AKT1","BRCA1"
"38732","BRCA1","AKT1"
"38733","BRCA1","AKT1"
"38734","TP53","MDM2"
"38735","ERBB2","EGFR"
"38736","ERBB2","ERBB2"
"38737","ERBB2","ERBB3"
"38739","CASP8","RIPK1"
"38743","RCHY1","TP53"
"38744","RCHY1","TP53"
"38745","RCHY1","RCHY1"
"38752","VHL","TCEB1"
"38753","VHL","TCEB2"
"38757","HGS","APP"
"38758","HGS","APLP2"
"38759","HGS","ATP2A2"
"38760","HGS","ARL6IP1"
"38763","HGS","FAM5C"
"38766","HGS","AHCYL1"
"38769","HGS","HSPA8"
"38770","HGS","MAP3K10"
"38772","HGS","SCRN1"
"38773","HGS","CRMP1"
"38774","HGS","DCTN2"
"38775","HGS","GFAP"
"38776","HGS","MARK4"
"38777","HGS","PPP1R16A"
"38778","HGS","RHOBTB3"
"38779","HGS","TUBB2A"
"38780","HGS","ESRRG"
"38781","HGS","ILKAP"
"38782","HGS","PPP1R7"
"38783","HGS","RSU1"
"38785","HGS","ACLY"
"38786","HGS","CBS"
"38787","HGS","DECR1"
"38788","HGS","MAT2A"
"38790","HGS","OSBPL5"
"38791","HGS","PLD3"
"38792","HGS","PFKM"
"38793","HGS","HNRPDL"
"38794","HGS","RPS3A"
"38795","HGS","SF3B3"
"38796","HGS","LINC00265"
"38798","HGS","ZNF302"
"38799","HGS","MEST"
"38802","HGS","TRAP1"
"38803","HGS","GGA2"
"38810","RRM2B","MDM2"
"38811","MDM2","RRM2B"
"38812","RRM2B","ATM"
"38813","ATM","RRM2B"
"38814","TRAF6","PSEN1"
"38816","BIRC2","RAF1"
"38817","BIRC3","RAF1"
"38818","RAF1","HSP90AA1"
"38822","CTDSP1","SNAI1"
"38823","CTDSP2","SNAI1"
"38824","CTDSPL","SNAI1"
"38825","SNAI1","CTDSPL"
"38826","SNAI1","CTDSP2"
"38827","SNAI1","CTDSP1"
"38828","CTDSP1","SNAI1"
"38829","CTDSP1","SNAI1"
"38830","CDC20","CDC23"
"38832","CDC20","CDC20"
"38833","CDC20","ANAPC10"
"38835","CDC20","ANAPC1"
"38836","CDC20","ANAPC7"
"38837","CDC20","BUB1B"
"38838","CDC20","MAD2L1"
"38839","CDC20","CDC27"
"38845","HIF1A","STAT3"
"38846","STAT3","HIF1A"
"38847","VHL","HIF1A"
"38848","HIF1A","VHL"
"38849","EIF4EBP1","EIF4E"
"38862","SOCS3","NONO"
"38863","RPL26","MDM2"
"38864","MDM2","RPL26"
"38865","RNF111","SMAD3"
"38866","SMAD3","RNF111"
"38867","HSPB2","TRAF6"
"38868","TRAF2","HSPB2"
"38869","TRAF6","HSPB2"
"38870","RARRES3","TRIM25"
"38872","TNFRSF1A","RIPK1"
"38873","TNFRSF1A","TRADD"
"38874","TNFRSF1A","BIRC3"
"38875","BIRC2","ADRM1"
"38876","AKT1","NPM1"
"38877","NPM1","AKT1"
"38878","AKT1","NPM1"
"38879","NPM1","AKT1"
"38880","SMURF2","SMURF1"
"38881","SMURF1","SMURF2"
"38899","FAF2","INSIG1"
"38900","INSIG1","VCP"
"38901","INSIG1","FAF2"
"38902","FAF2","VCP"
"38903","AMFR","VCP"
"38904","AMFR","FAF2"
"38905","FAF2","AMFR"
"38907","DCUN1D1","CUL1"
"38909","DCUN1D1","CUL3"
"38910","DCUN1D1","CAND1"
"38911","DCUN1D1","UBE2M"
"38912","DCUN1D1","CUL5"
"38915","DCUN1D1","CUL1"
"38917","DCUN1D1","CUL3"
"38918","DCUN1D1","CAND1"
"38923","CAND1","DCUN1D1"
"38924","HECTD3","STX8"
"38930","NEDD8","CUL5"
"38935","SMAD3","CSNK1G2"
"38936","CSNK1G2","SMAD3"
"38937","CSNK1G2","SMAD3"
"38939","CDKN1A","DDB1"
"38941","DDB1","CDKN1A"
"38944","PIN1","FOXO4"
"38945","FOXO4","PIN1"
"38946","FBXW7","MTOR"
"38947","BIRC3","BIRC3"
"38948","BIRC3","UBE2D2"
"38949","BIRC3","UBE2D2"
"38950","SMAD4","SMAD2"
"38958","TRAF6","RUNX1"
"38959","FHL2","TRAF6"
"38960","FHL2","RUNX1"
"38961","TRAF6","FHL2"
"38964","HIPK2","FBXW7"
"38968","NLK","SKP2"
"38969","NLK","CUL1"
"38970","HIPK2","CUL1"
"38977","CSNK2A1","TAF1"
"38978","TAF1","CSNK2A1"
